brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
Intel,https://c1.neweggimages.com/ProductImageCompressAll300/14-883-002-07.jpg,N82E16814883002,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 2.0', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': '21P02J00BA'}",229.99,0.0,4.3,57,Intel Arc A750 Limited Edition 8GB PCI Express 4.0 Graphics Card 21P02J00BA
ASRock,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-059-01.jpg,N82E16814930059,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RX6700XT CLD 12GO'}",349.99,0.0,4.6,85,ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6700XT CLD 12GO
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-765-01.jpg,N82E16814137765,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4080 16GB VENTUS 3X OC'}",1214.99,0.0,4.5,34,MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC
ASRock,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-076-01.jpg,N82E16814930076,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 2.0', 'HDMI': '1 x HDMI 2.0b', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'A380 CLI 6G OC'}",119.99,0.0,3.9,68,ASRock Challenger Arc A380 6GB GDDR6 PCI Express 4.0 ITX Video Card A380 CLI 6G OC
51Risc,https://c1.neweggimages.com/ProductImageCompressAll300/B86XS2304260DM71E42.jpg,27N-007Z-00002?Item=9SIB86XH2K2757&cm_sp=SP-_-1814249-_-Pers_SubCategorySponsoredProduct-_-4-_-9SIB86XH2K2757-_-48-_--_-3,"{'MaxResolution': '4096 x 2160', 'DisplayPort': '3 x DisplayPort', 'HDMI': '1 x HDMI', 'DirectX': 'DirectX 12', 'Model': 'RX 580'}",85.0,0.0,4.5,12,51Risc AMD Radeon RX 580 DirectX 12 RX580 8G 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Gaming Video Card Mining GPU
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-561-23.jpg,N82E16814932561,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'GV-N4080GAMING OC-16GD'}",1219.99,0.0,4.3,106,GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-791-01.jpg,N82E16814137791,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4070 GAMING X TRIO 12G'}",649.99,0.0,5.0,5,MSI Gaming GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 GAMING X TRIO 12G
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-789-01.jpg,N82E16814137789,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4070 VENTUS 3X 12G OC'}",599.99,0.0,4.0,8,MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G OC
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-735-01.jpg,N82E16814137735,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RX 6750 XT MECH 2X 12G OC'}",389.99,0.0,4.5,73,MSI Mech Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX 6750 XT MECH 2X 12G OC
Sapphire Tech,https://c1.neweggimages.com/ProductImageCompressAll300/14-202-405-S01.jpg,N82E16814202405,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': '11304-03-20G'}",534.99,0.0,4.6,58,"SAPPHIRE PULSE AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6, AMD RDNA 2 (SKU#11304-03-20G)"
ASUS,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-611-13.jpg,N82E16814126611,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'TUF-RTX3070TI-O8G-V2-GAMING'}",569.99,0.0,5.0,23,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC V2 Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Military-grade Certification, GPU Tweak III) TUF-RTX3070TI-O8G-V2-GAMING"
Sapphire Tech,https://c1.neweggimages.com/ProductImageCompressAll300/14-202-429-15.jpg,N82E16814202429,"{'MaxResolution': '', 'DisplayPort': '', 'HDMI': '', 'DirectX': '', 'Model': ''}",999.99,0.0,4.9,24,SAPPHIRE PULSE Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-02-20G
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-550-23.jpg,N82E16814932550,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N4090GAMING OC-24GD'}",1699.99,0.0,4.7,170,GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-790-01.jpg,N82E16814137790,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4070 VENTUS 3X 12G'}",599.99,0.0,4.7,3,MSI Ventus GeForce RTX 4070 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4070 VENTUS 3X 12G
